link,npsn,name,address,akreditasi,kepala_sekolah,operator,guru,siswa_l,siswa_p,rombongan_belajar,kurikulum,penyelenggaraan,mbs,semester_data,akses_internet,sumber_listrik,daya_listrik,luas_tanah_m2,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,r_siswa_rombel,r_siswa_ruang_kelas,r_siswa_guru,p_guru_kualifikasi,p_guru_sertifikasi,p_guru_pns,p_ruang_kelas_layak,guru_status_pns,guru_status_gtt,guru_status_gty,guru_status_honor,guru_sertifikasi,guru_belum_sertifikasi,guru_ijazah_kurang_dari_S1,guru_ijazah_S1_atau_lebih,guru_ijazah_data_kosong,guru_jk_laki_laki,guru_jk_perempuan,tk_status_pns,tk_status_honor,tk_total,tk_ijazah_kurang_dari_S1,tk_ijazah_S1_atau_lebih,tk_ijazah_data_kosong,tk_jk_laki_laki,tk_jk_perempuan,nilai_akreditasi_tahun,nilai_akreditasi_akhir
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0464EDBB-D0B5-4180-92B9-2741E8F7B6A5,20211525,SMKS PGRI CIKONENG ,"JL. RAYA CIKONENG CIAMIS NO.144, Cikoneng, Kec. Cikoneng, Kab. Ciamis Prov. Jawa Barat",Sertifikat Kedaluwarsa,Agung Hermawan,HENDI HARDIANTO,28,208,170,12,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Sehari Penuh/5 hari,False,2023/2024-2,Tidak Ada,PLN,13000,1,16,0,1,2,31.5,23.63,13.5,82.14,17.86,3.57,100.0,1,0,26,6,5,23,0,23,5,14,14,1,10,37,2,25,10,20,17,2021,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16736058-3E39-4BBE-B1C8-DA556A3F6D37,40103561,SMKN 6 TALAUD,"Jl. Trans Pulau Kabaruan, Damau, Kec. Damau, Kab. Kepulauan Talaud Prov. Sulawesi Utara",B,Telma Mengga,TELMA MENGGA,28,0,0,0,SMK 2013 REV.Â  Perhotelan,,True,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,82.14,28.57,50.0,0.0,14,4,0,10,8,20,1,23,4,17,11,17,10,31,1,24,6,18,13,2023,89
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C14E3B2D-F3C8-4C7D-9E78-EB55DDD0566C,40101746,SMKN 1 TALAUD,"Jl. SMK Kompleks POLRES Talaud-Melonguane, Melonguane, Kec. Melonguane, Kab. Kepulauan Talaud Prov. Sulawesi Utara",B,Fatimah Juliana Pade,Yanmir S Bowonseet,34,0,0,0,SMK 2013 REV.Â  Akuntansi dan Keuangan Lembaga,,False,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,85.29,38.24,58.82,0.0,20,6,0,8,13,21,0,29,5,17,17,22,13,41,0,31,10,21,20,2022,87
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/225E6BCB-23B0-4976-A9E3-BCF2AFCB3F4E,40101749,SMKN 3 TALAUD,"Resduk Bantik KM.4, Bantik Lama, Kec. Beo, Kab. Kepulauan Talaud Prov. Sulawesi Utara",C,Chrees Lukas,ANITA LAHINDA,24,0,0,0,SMK 2013 REV.Â Agribisnis Tanaman Pangan dan Hortikultura,,True,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,87.5,33.33,66.67,0.0,16,2,0,6,8,16,0,21,3,13,11,18,8,28,0,23,5,14,14,2013,76
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EEDA66DA-86B0-433C-8443-D28C6D33DFB4,40101748,SMKS KRISTEN LIRUNG,"JL. EDI GAGOLA KOMPLEKS GEREJA IMANUEL LIRUNG WARGA DUSUN III, Lirung, Kec. Lirung, Kab. Kepulauan Talaud Prov. Sulawesi Utara",B,Telma Mengga,FANLY FRENLY PORAJOW,21,0,0,0,SMK 2013 REV.Â  Akuntansi dan Keuangan Lembaga,,True,2023/2024-2,,,,1,0,0,0,0,0.0,0.0,0.0,85.71,61.9,76.19,0.0,16,0,4,1,13,8,0,18,3,9,12,19,2,25,0,18,7,10,15,2023,89
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F3627877-2D8D-49E6-98B1-0148EAA65887,40101747,SMKN 4 TALAUD,"JLN. SISWA, Gemeh, Kec. Gemeh, Kab. Kepulauan Talaud Prov. Sulawesi Utara",B,Since Nangi Riung,RONAL MANGAMIS,20,0,0,0,SMK 2013 REV.Â  Akuntansi dan Keuangan Lembaga,,False,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,90.0,20.0,55.0,0.0,11,7,0,2,4,16,0,18,2,11,9,13,5,25,0,19,6,12,13,2019,83
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4CC1EDB-6B2C-4DF5-8154-1D828F23F6F0,40103558,SMKN 2 TALAUD,"JL. WANGA MIANGAS, Miangas, Kec. Miangas, Kab. Kepulauan Talaud Prov. Sulawesi Utara",B,Jems Meyer Edam,"Elmar Hana, S.Si",13,0,0,0,SMK 2013 REV.Â Â Agribisnis Pengolahan Hasil Perikanan,,True,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,84.62,46.15,69.23,0.0,9,2,0,2,6,7,0,11,2,4,9,10,4,16,0,13,3,6,10,2019,83
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2BABDF7C-A2C6-4580-9EC9-6B6780F4D0DA,40103560,SMKS KRISTEN KARYA BAHARI SALIBABU,"Jln.Raya Salibabu Kompleks  gereja Filadelfia Salibabu Kec. Salibabu, Salibabu, Kec. Salibabu, Kab. Kepulauan Talaud Prov. Sulawesi Utara",B,Edyson Patone,Brigita Apsari Patone,6,0,0,0,SMK 2013 REV.Â  Nautika Kapal Penangkap Ikan,,True,2023/2024-2,,,,1,0,0,0,0,0.0,0.0,0.0,66.67,66.67,33.33,0.0,2,0,5,1,4,2,1,4,1,2,4,3,1,9,2,4,3,4,5,2022,89
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CDCBF55A-3EC5-425C-9DE9-F650FF4AB353,69953885,SMK NEGERI 7 TALAUD DI DAPIHE,"Desa Dapihe, Dapihe, Kec. Tanpa Namma, Kab. Kepulauan Talaud Prov. Sulawesi Utara",C,Mei Noufa Areros,"Handris Rudu, S.Pd",19,53,41,7,SMK 2013 REV.Â Teknik Komputer dan Jaringan,Sehari Penuh/5 hari,True,2023/2024-2,Tidak Ada,PLN,1200,3,5,0,0,2,13.43,18.8,4.95,78.95,10.53,21.05,100.0,4,5,0,10,2,17,0,15,4,8,11,5,12,22,0,16,6,9,13,2019,71
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B5EDCA2D-13FF-4B72-A97B-56CE5F08F1A9,40103559,SMKN 5 TALAUD,"JALAN KAMPUNG BARU BATUMBALANGO, Batumbalango, Kec. Essang Selatan, Kab. Kepulauan Talaud Prov. Sulawesi Utara",B,Koneng Nalande,"Oktadiana Pakiding, S.Pd., Gr",18,0,0,0,SMK 2013 REV.Â  Otomatisasi dan Tata Kelola Perkantoran,,False,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,88.89,38.89,72.22,0.0,13,1,0,4,7,11,0,16,2,10,8,14,6,21,0,19,2,12,9,2023,86
