npsn,name
10100543,SMAN 1 TRIENGGADENG
10100550,SMAN 2 BANDAR BARU
10100553,SMAN 2 SIGLI
10100554,SMAN 1 KEUMALA
10100557,SMAN 1 PEUKAN PIDIE
10100569,SMAN 1 BANDAR BARU
10100570,SMAN 1 BANDAR DUA
10100572,SMAN 1 GLUMPANG TIGA
10100573,SMAN 1 INDRAJAYA
10100575,SMAN 1 MEUREUDU
10100577,SMAS DARUSSA ADAH
10101184,SMAS PGRI KRG GEUKEUH
10101309,SMA NEGERI 1 MATANG KULI
10101872,SMAN 1 SIMPANG ULIM
10101875,SMAN 1 DARUL AMAN
10101876,SMAN 1 IDI RAYEUK
10101877,SMAN 1 JULOK
10101884,SMAN 1 RANTO PEUREULAK
10101903,SMAS PLUS NURUL ULUM
10102181,SMAN 4 TAKENGON
10102248,SMAN 2 TAKENGON
10102259,SMAN 6 TAKENGON
10102283,SMAN 8 TAKENGON UNGGUL
10102284,SMAN 7 TAKENGON
10102291,SMAS MUHAMMADIYAH 5 TAKENGON
10102311,SMAN 3 TAKENGON
10102502,SMA NEGERI 1 KAWAY XVI
10102505,SMA NEGERI 1 MEULABOH
10102506,SMA NEGERI 1 SAMATIGA
10102510,SMA MUHAMMADIYAH 6 MEULABOH
10102514,SMA NEGERI 1 SUNGAI MAS
10102722,SMA NEGERI 1 LABUHAN HAJI
10102728,SMAN 1 KLUET TENGAH
10102729,SMAN 1 TAPAKTUAN
10102738,SMA SWASTA TARBIYAH
10102739,SMA ISLAM TERPADU DARUL AMILIN
10102740,SMAN 1 LABUHAN HAJI BARAT
10102744,SMAN UNGGUL TAPAKTUAN
10102771,SMA NEGERI 1 SAMADUA
10102785,SMAN 1 SAWANG
10102790,SMAN 1 LABUHAN HAJI TIMUR
10102793,SMAN 2 TAPAKTUAN
10103092,SMAN 1 LAWE SIGALA-GALA
10103097,SMAN 1 BADAR
10103098,SMAN 3 KUTACANE
10103103,SMAN 1 LAWE ALAS
10103352,SMAN 1 SIMEULUE BARAT
10104039,SMAN 1 SINGKIL
10104040,SMA NEGERI 1 SIMPANG KIRI
10104042,SMAN 1 PULAU BANYAK
10104043,SMAN 1 GUNUNG MERIAH
10104046,SMAN 1 DANAU PARIS
10104049,SMAN 1 SURO
10104059,SMAN 1 RUNDENG
10104272,SMAN 1 MANYAK PAYED
10104295,SMAS AL - WASHLIYAH
10104524,SMA NEGERI 1 PUTRI BETUNG
10104529,SMA NEGERI 1 KUTAPANJANG
10104530,SMA NEGERI 1 RIKIT GAIB
10104547,SMA NEGERI SERIBU BUKIT
10104680,SMAN 1 BEUTONG
10104837,SMA NEGERI 8 ACEH BARAT DAYA
10104848,SMA NEGERI 3 ACEH BARAT DAYA
10104851,SMA NEGERI 10 ACEH BARAT DAYA
10104852,SMA NEGERI 11 ACEH BARAT DAYA
10104862,SMA NEGERI 2 ACEH BARAT DAYA
10104863,SMA NEGERI 4 ACEH BARAT DAYA
10104864,SMA NEGERI 1 ACEH BARAT DAYA
10104880,SMA NEGERI 6 ACEH BARAT DAYA
10104883,SMA NEGERI 9 ACEH BARAT DAYA
10105059,SMA NEGERI 1 PANGA
10105171,SMA NEGERI 2 TIMANG GAJAH
10105183,SMA NEGERI 1 BUKIT
10105185,SMAN 1 TIMANG GAJAH
10105340,SMAN 8 BANDA ACEH
10105342,SMAS INSHAFUDDIN
10105381,SMAS KARTIKA XIV-I
10105384,SMAS GRANADA PGRI
10105388,SMAN 3 BANDA ACEH
10105389,SMAN 1 BANDA ACEH
10105396,SMAN 7 BANDA ACEH
10105398,SMAN 5 BANDA ACEH
10105399,SMAN 2 BANDA ACEH
10105404,SMAS AL MISBAH
10105619,SMAN 1 LHOKSEUMAWE
10105622,SMAN 4 LHOKSEUMAWE
10105624,SMAN 6 LHOKSEUMAWE
10105732,SMA JAYA LANGSA
10105736,SMA N 2 LANGSA
10105752,SMA N 4 LANGSA
10107084,SMA NEGERI 1 GANDAPURA
10107085,SMA NEGERI 1 JANGKA
10107087,SMA NEGERI 1 KUTABLANG
10107091,SMA NEGERI 1 PEULIMBANG
10107097,SMA NEGERI 2 BIREUEN
10107100,SMA NEGERI 2 SAMALANGA
10107105,SMA SWASTA SUKMA BANGSA BIREUEN
10107192,SMA SWASTA MUSLIMAT SAMALANGA
10107194,SMAN 10 FAJAR HARAPAN BANDA ACEH
10107196,SMA NEGERI 12 BANDA ACEH
10107197,SMAN 9 BANDA ACEH
10107271,SMAS TERPADU BUSTANUL ARIFIN
10107279,SMA NEGERI 3 TIMANG GAJAH
10107280,SMA NEGERI 2 PINTU RIME GAYO
10107513,SMAN 10 TAKENGON
10107514,SMAN 9 TAKENGON
10107919,SMAS SUKMA BANGSA
10107933,SMAN 1 PANTERAJA
10107965,SMAN 2 BEUTONG
10108057,SMAN 2 DARUL MAKMUR
10108058,SMAN 1 DARUL MAKMUR
10108059,SMAN 2 KUALA
10108103,SMA NEGERI 1 WOYLA BARAT
10108201,SMAN 2 GUNUNG MERIAH
10108241,SMA NEGERI UNGGUL SIGLI
10110262,SMA NEGERI 1 PANTE CEUREUMEN
10110348,SMAN 2 BADAR
10110349,SMAN 1 LAWE BULAN
10110350,SMAN 1 DARUL HASANAH
10110353,SMAS TUNGGAL ALAS
10110364,SMAN 1 NURUSSALAM
10110461,SMAS NURUL ISLAM
10110562,SMA NEGERI 2 MEULABOH
10110564,SMA NEGERI 1 BUBON
10110569,SMAS NUSA BANGSA
10110593,SMAS ISKANDAR MUDA
10110632,SMAN BUNGA BANGSA
10110683,SMA SWASTA BINA GENERASI BANGSA
10110701,SMA NEGERI 1 WOYLA TIMUR
10110706,SMAS ISLAM AL-MUJADDID
10110894,SMAN 1 ALAFAN
10110895,SMAN 1 SALANG
10110901,SMAN 3 SIMEULUE BARAT
10110902,SMAN 2 SIMEULUE TENGAH
10111320,SMA NEGERI 1 LONGKIB
10111326,SMAS PLUS MUHAMMADIYAH
10111578,SMAS JABAL NUR JADID
10111579,SMAN 1 BAKONGAN TIMUR
10111595,SMA NEGERI 1 PANTON REE
10111679,SMAN 1 TELUK DALAM
10111680,SMAN 1 TEUPAH BARAT
10111836,SMAN 7 LHOKSEUMAWE
10111952,SMA NEGERI 1 TRIPE JAYA
10111954,SMAN PERSENEG 4 TANAH JAMBO AYE
10112425,SMAN 13 TAKENGON
10112426,SMAN 17 TAKENGON
10112861,SMAN 15 TAKENGON BINAAN NENGGERI ANTARA
10112862,SMAN 16 TAKENGON
10112863,SMAN 1 BIREM BAYEUN
10112901,SMAS DARUSS ADAH
10113050,SMA NEGERI 2 BANDAR DUA
10113086,SMA NEGERI UNGGUL
10113239,SMAN 3 SEUNAGAN
10113241,SMAN 1 TADU RAYA
10113242,SMAN 5 DARUL MAKMUR
10113353,SMA NEGERI 3 BUKIT
10113366,SMAN 1 DARUL IHSAN
10113409,SMAS PLUS AMAL
10113618,SMA NEGERI 1 KRUENG SABEE
10113619,SMA NEGERI 1 INDRA JAYA
10113631,SMAN SEMADAM
10200443,SMAS SERDANG PANTAI LABU
10201984,SMA SWASTA ADVENT LAURAKIT
10201985,SMA NEGERI 1 KABANJAHE
10201987,SMA NEGERI 1 MUNTE
10201988,SMA NEGERI 1 TIGANDERKET
10201989,SMA NEGERI 1 SIMPANGEMPAT
10201990,SMA NEGERI 1 TIGABINANGA
10201993,SMA NEGERI 1 JUHAR
10201994,SMA NEGERI 1 BERASTAGI
10201997,SMA SWASTA GBKP KABANJAHE
10201998,SMA SWASTA IMMANUEL KABANJAHE
10202002,SMA SWASTA KATOLIK KABANJAHE
10202004,SMA SWASTA METHODIST BERASTAGI
10202652,SMA SWASTA CR DUYNHOVEN
10202654,SMA SWASTA DHARMA BAKTI
10202658,SMA SWASTA BINA GUNA TANAHJAWA
10202659,SMA SWASTA ASSISI SIANTAR
10202662,SMA SWASTA ABDI SEJATI PERDAGANGAN
10202669,SMA SWASTA SATRYA BUDI PERDAGANGAN
10202673,SMA NEGERI 1 HUTABAYURAJA
10202674,SMA SWASTA PEMBANGUNAN
10202677,SMA SWASTA MUHAMMADIYAH 7 SERBALAWAN
10202680,SMA SWASTA KARYA SIMANTIN
10202681,SMA SWASTA HKBP SERBELAWAN
10202721,SMA SWASTA SINAR SURYA
10202759,SMA NEGERI 1 RAYA
10202760,SMA NEGERI 1 PURBA
10202761,SMA NEGERI 1 PANOMBEIAN PANEI
10202763,SMA NEGERI 1 DOLOK PARDAMEAN
10202764,SMA NEGERI 1 DOLOK PANRIBUAN
10202765,SMA NEGERI 1 DOLOK BATUNANGGAR
10202768,SMA SWASTA YPI DHARMA BUDI
10202772,SMA SWASTA TELADAN BANGUN
10202773,SMA NEGERI 1 SIANTAR
10202787,SMA NEGERI 2 BANDAR
10202790,SMA NEGERI 1 SILIMAKUTA
10202791,SMA NEGERI 1 SILAU KAHEAN
10203517,SMAS BUKIT CAHAYA SIDIKALANG
10203518,SMAS KESUMA SUMBUL KARO
10203520,SMAS PERGURUAN NASIONAL
10203521,SMAS RISMANDUMA
10203524,SMAN 1 PARBULUAN
10203536,SMAN 1 PEGAGAN HILIR
10203537,SMAN 1 SIDIKALANG
10203549,SMAN 1 SIEMPAT NEMPU
10203550,SMAN 1 SILIMA PUNGGA-PUNGGA
10203551,SMAN 1 SUMBUL
10203554,SMAN 2 SIDIKALANG
10204053,SMAN 2 KISARAN
10204054,SMA NEGERI 1 TANJUNG TIRAM
10204055,SMAN 1 TANJUNG BALAI
10204057,SMAN 1 SIMPANG EMPAT
10204060,SMAN 1 PULAU RAKYAT
10204061,SMAN 1 MERANTI
10204064,SMAN 1 KISARAN
10204065,SMAN 1 BUNTU PANE
10204066,SMAN 1 AEK SONGSONGAN
10204067,SMAN 3 KISARAN
10204224,SMAN 1 AIR JOMAN
10204225,SMAS KESATUAN MERANTI
10204227,SMAS DIPONEGORO KISARAN
10204229,SMAS DAERAH KISARAN
10204231,SMAS DAERAH AIR JOMAN
10204233,SMAS BINA BUDAYA RAWANG
10204235,SMAS ASAHAN KISARAN
10204236,SMAS ALWASLIYAH 8 MERANTI
10204237,SMAS AL MA SHUM KISARAN BRT
10204238,SMA SWASTA ADVENT TANJUNG KASAU
10204240,SMAS MERANTI
10204241,SMAS METHODIST 2 KISARAN
10204246,SMAS UMUM SENTOSA
10204250,SMAS TAMAN SISWA KISARAN
10204253,SMAS PANTI BUDAYA KISARAN
10204254,SMA SWASTA NUSANTARA LABUHANRUKU
10204255,SMA SWASTA NASIONAL PETATAL
10205362,SMAN 3 RANTAU UTARA
10205365,SMAN 1 AEK NATAS
10205369,SMAS BINTANG TIMUR RANTAUPRAPAT
10205377,SMAS METHODIST RANTAUPRAPAT
10205379,SMAN 1 KOTAPINANG
10205380,SMAN 2 RANTAU UTARA
10205383,SMAN 1 SEI KANAN
10205386,SMAN 1 PANAI TENGAH
10205388,SMAN 1 PANAI HILIR
10205389,SMAN 1 NA IX-X
10205390,SMAN 1 MERBAU
10205391,SMAN 1 KUALUH SELATAN
10205392,SMAN 1 KUALUH LEIDONG
10205393,SMAN 1 KUALUH HULU
10205394,SMAN 1 KUALUH HILIR
10205416,SMAS DI PANJAITAN TANJUNG LEIDONG
10206127,SMAN 1 PAHAE JULU
10206128,SMAN 1 TARUTUNG
10206129,SMAN 1 ADIANKOTING
10206130,SMAN 1 MUARA
10206131,SMAN 1 PAGARAN
10206132,SMAN 1 PAHAE JAE
10206133,SMAN 1 PANGARIBUAN
10206137,SMAN 1 SIPOHOLON
10206583,SMAN 1 TUKKA
10206585,SMAS SW KELUARGA
10207064,SMAN 2 PADANG BOLAK
10207065,SMAN 1 SIHAPAS BARUMUN
