npsn,name
10100617,SMKS MUTIARA
10100618,SMKS TUNAS HARAPAN SIGLI
10100633,SMKS LILAWANGSA SIGLI
10100635,SMKN 1 SIGLI
10101327,SMK NEGERI 1 DEWANTARA
10101355,SMK NEGERI 1 LHOKSUKON
10102277,SMKN 1 TAKENGON
10102278,SMKN 2 TAKENGON
10102742,SMKN MEUKEK
10102772,SMKN 1 PASIE RAJA
10102773,SMKN 1 TAPAKTUAN
10102783,SMKN 1 KLUET SELATAN
10102784,SMKN 1 SAWANG
10103347,SMKN 1 SINABANG
10104267,SMKS MAIMUN HABSYAH KUALA SIMPANG
10105337,SMKN 3 BANDA ACEH
10105338,SMKN 2 BANDA ACEH
10105625,SMKN 1 LHOKSEUMAWE
10105627,SMKN 3 LHOKSEUMAWE
10105628,SMKN 4 LHOKSEUMAWE
10105629,SMKS KARYA BERINGIN
10105704,SMK N 1 LANGSA
10105705,SMK 1 CUT NYAK DIEN
10105708,SMK 2 CUT NYAK DHIEN
10105744,SMK N 4 LANGSA
10106278,SMK NEGERI 1 MUARA BATU
10106280,SMK NEGERI 1 BAKTIYA BARAT
10107107,SMK NEGERI 1 JEUNIEB
10107108,SMK NEGERI 1 PEUSANGAN
10107115,SMK N 5 LANGSA
10107158,SMKN 1 KARANG BARU
10107283,SMKN 1 BENER MERIAH
10107284,SMKN 2 BENER MERIAH
10107801,SMKN KELAUTAN DAN PERIKANAN KUALA BARU
10107807,SMKN 1 GUNUNG MERIAH
10107816,SMKN 3 TAKENGON
10107959,SMK NEGERI 1 WOYLA
10108048,SMKN 2 KARANG BARU
10108106,SMK NEGERI 1 SAMATIGA
10108208,SMKS DARMA SHALIHAT ALUE BILIE
10108209,SMKN 1 NAGAN RAYA
10108221,SMKS TERPADU AL AZHAR
10108260,SMK NEGERI 1 DARUL HIKMAH
10108272,SMK NEGERI 1 PANTE CEUREUMEN
10110269,SMK NEGERI 2 MEULABOH
10110273,SMK SWASTA ARONGAN LAMBALEK
10110275,SMKN 3 SIGLI
10110534,SMK NEGERI 4 ACEH BARAT DAYA
10110535,SMK NEGERI 3 ACEH BARAT DAYA
10110536,SMK NEGERI 2 ACEH BARAT DAYA
10110624,SMKN 1 BENDAHARA
10110714,SMKN 5 LHOKSEUMAWE
10110818,SMKS FARMASI CUT MEUTIA
10111328,SMK NEGERI 4 MEULABOH
10111577,SMKN 5 TELKOM
10111684,SMKN 3 SINABANG
10111806,SMKN I BANDAR DUA
10111906,SMKN 2 BLANGKEJEREN
10112857,SMK NEGERI ULIM
10112889,SMKN BEUNGGA
10112956,SMKN 4 TAKENGON
10113344,SMKN 1 PEUREULAK
10113346,SMKN 1 PEUREULAK TIMUR
10113601,SMK KESEHATAN ASSYIFA SCHOOL
10113622,SMK NEGERI 1 SETIA BAKTI
10113917,SMK N 6 LANGSA
10200410,SMKS TAMORA T MORAWA
10200411,SMKS TAMAN SISWA 2 BM GALANG
10200412,SMKS 2 DELIMA SARI
10200414,SMKS PANCA JAYA 1 BM GALANG
10200421,SMKS PAB 5 KLAMBIR LIMA
10200424,SMKS TAMAN SISWA 1 TR GALANG
10202006,SMK SWASTA IMMANUEL 2 KABANJAHE
10202007,SMK NEGERI 1 KABANJAHE
10202023,SMK SWASTA GBKP KABANJAHE
10202024,SMK SWASTA IMMANUEL 1 KABANJAHE
10202026,SMK NEGERI 1 MERDEKA
10202027,SMK NEGERI 1 BERASTAGI
10202028,SMK SWASTA PIJER PODI
10202725,SMK SWASTA SATRYA BUDI KARANG REJO
10202727,SMK SWASTA PEMBAHARUAN 1 SIANTAR
10202728,SMK SWASTA NUSANTARA SYAHKUDA
10202729,SMK SWASTA NUSANTARA TANAH JAWA
10202730,SMK NEGERI 1 RAYA
10202733,SMK SWASTA GKPS 1 RAYA
10202734,SMK SWASTA GKPS 2 PEMATANGSIANTAR
10202739,SMK SWASTA TUNAS JAYA TANAH JAWA
10202776,SMK SWASTA ABDI SEJATI
10202778,SMK SWASTA SATRYA BUDI 1 PERDAGANGAN
10202782,SMK SWASTA TPI AL-HASANAH
10203538,SMKN 1 SITINJO
10203540,SMKS BUKIT CAHAYA 1
10203541,SMKS TEKNIK DAIRI
10203547,SMKN 1 SIDIKALANG
10203548,SMKS BUKIT CAHAYA 2
10203556,SMKS HKBP SIDIKALANG
10204031,SMKS TAMAN SISWA SUKADAMAI
10204032,SMKS TAMAN SISWA KISARAN
10204068,SMKS AL MASHUM KISARAN
10204069,SMKS T AMIR HAMZAH INDRAPURA
10204070,SMKS PEMDA KISARAN
10204073,SMKN 2 KISARAN
10204075,SMKN 1 KISARAN
10204078,SMKS MERANTI
10204080,SMKS DIPONEGORO KISARAN
10204083,SMKS 2 YAPIM SIMPANG KAWAT
10205184,SMKS SITI BANUN SIGAMBAL
10205186,SMKS PGRI 15 RANTAUPRAPAT
10205189,SMKS PELITA 2 AEK KANOPAN
10205192,SMKS KUALUH 1 AEK KANOPAN
10205193,SMKS KIHAJAR DEWANTARA
10205194,SMKS ISLAMIYAH 2
10205196,SMKS DWI GUNA KAMPUNG PAJAK
10205197,SMKS BUDI UTOMO 1 CIKAMPAK
10205200,SMKS AL WASHLIYAH 2 MERBAU
10205204,SMKN 2 RANTAU UTARA
10205205,SMKS BUDI RANTAUPRAPAT
10205210,SMKS PELITA 1 AEK KANOPAN
10205212,SMKN 1 PANGKATAN
10205214,SMKS HARAPAN AEK KANOPAN
10205289,SMKS ABDI NEGARA
10206116,SMKS HKI SARULLA
10206117,SMKN 1 SIATAS BARITA
10206118,SMKN 2 SIATAS BARITA
10206126,SMKS HKBP SARULLA
10206513,SMKS CINTA RAKYAT SIRANDORUNG
10206516,SMKS TI BINA WARGA
10208075,SMKN 1 PANYABUNGAN
10208076,SMKS MITRA MANDIRI
10208077,SMKS MERPATI NUSANTARA
10208080,SMKN 2 KOTANOPAN
10208082,SMKN 1 NATAL
10208083,SMKN 3 PANYABUNGAN
10208514,SMKS PGRI 10 BALIGE
10208515,SMKS ANUGERAH PARSOBURAN
10208517,SMKN 2 BALIGE
10208518,SMKS KARYA PENDIDIK BALIGE
10208521,SMKS PEMBAHARUAN PORSEA
10208523,SMKS SOPOSURUNG BALIGE
10208531,SMKN 1 LAGUBOTI
10208654,SMKN 1 PARGETTENG GETTENG SENGKUT
10208702,SMKS GKLI SIHABONGHABONG PARLILITAN
10208703,SMKS HKBP LINTONGNIHUTA
10208706,SMKN 2 DOLOKSANGGUL
10208707,SMKS NUSANTARA DOLOKSANGGUL
10208927,SMK NEGERI 1 PALIPI
10208928,SMK NEGERI 1 NAINGGOLAN
10208945,SMK SWASTA KARYA JAYA PANGURURAN
10208946,SMK SWASTA HKBP PANGURURAN
10209283,SMKS YAPIM SEI BAMBAN
10209284,SMKS TELADAN SEI RAMPAH
10209285,SMKS TAMAN SISWA NAGARAJA
10209300,SMKS SATRIA DARMA 1
10209390,SMKS DHARMA UTAMA PEGAJAHAN
10209392,SMKS AL WASHLIYAH 8
10209398,SMKS HARUM SENTOSA PERBAUNGAN
10209399,SMKS KARTINI UTAMA SEI RAMPAH
10209402,SMKS MUSDA PERBAUNGAN
10210761,SMKS QUICKLY MEDAN
10210763,SMKN 3 MEDAN
10210764,SMKN 4 MEDAN
10210766,SMKN 9 MEDAN
10210774,SMKN 11 MEDAN
10210779,SMKS SILOAM 1
10210780,SMKS TELADAN MEDAN
10210781,SMKS TELADAN SUMATERA UTARA 1
10210976,SMKN 1 MEDAN
10210977,SMKN 6 MEDAN
10210978,SMKN 7 MEDAN
10210982,SMKS BM AL FATTAH
10210998,SMKS AMIR HAMZAH
10211063,SMKN 5 MEDAN
10211064,SMKS AL FATTAH 2
10211069,SMKS SWA BINA KARYA
10211071,SMKS BINA SATRIA
10211072,SMKS BINA TARUNA 1
10211076,SMKS YWKA MEDAN
10211078,SMKS TELADAN SUMATERA UTARA 2
10211085,SMKS YASPI LABUHANDELI
10211086,SMKS BUDI INSANI
10211087,SMKS YPK
10211088,SMKS MARISI
10211090,SMKS DWIWARNA
10211092,SMKS MUHAMMADIYAH 9 MEDAN
10211098,SMKS TI PALAPA MEDAN
10211200,SMKS PARULIAN 3
10211205,SMKS 1 TI MEDAN PUTRI
10211210,SMKS IMMANUEL
10211211,SMKS INDONESIA MEMBANGUN 1
10211212,SMKS JOSUA
10211223,SMKS HASANUDDIN
10211225,SMKS INDONESIA MEMBANGUN 2
10211226,SMKS ISLAM AZIZI
10211227,SMKS JAMBI
10211240,SMKS KATOLIK MARIANA
10211242,SMKS KRAKATAU
10211245,SMKS ERIA
10211249,SMKS BINA TARUNA 2
10211250,SMKS AL WASHLIYAH 3
10211251,SMKS BM PALAPA
10211254,SMKS BUDISATRYA
10211255,SMKS BUDI SUNGGAL
10211256,SMKS DHARMA BAKTI 1
10211259,SMKS PERGURUAN MABAR
10211265,SMKS PENCAWAN 1
10211266,SMKS PGRI 8
