link,npsn,name,address,akreditasi,kepala_sekolah,operator,guru,siswa_l,siswa_p,rombongan_belajar,kurikulum,penyelenggaraan,mbs,semester_data,akses_internet,sumber_listrik,daya_listrik,luas_tanah_m2,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,r_siswa_rombel,r_siswa_ruang_kelas,r_siswa_guru,p_guru_kualifikasi,p_guru_sertifikasi,p_guru_pns,p_ruang_kelas_layak,guru_status_pns,guru_status_gtt,guru_status_gty,guru_status_honor,guru_sertifikasi,guru_belum_sertifikasi,guru_ijazah_kurang_dari_S1,guru_ijazah_S1_atau_lebih,guru_ijazah_data_kosong,guru_jk_laki_laki,guru_jk_perempuan,tk_status_pns,tk_status_honor,tk_total,tk_ijazah_kurang_dari_S1,tk_ijazah_S1_atau_lebih,tk_ijazah_data_kosong,tk_jk_laki_laki,tk_jk_perempuan,nilai_akreditasi_tahun,nilai_akreditasi_akhir
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1E0D955C-9084-423C-89E7-A9A6900CDEF5,10310780,SMKN 1 SUMATERA BARAT,"JL. M YUNUS, Lubuk Lintah, Kec. Kuranji, Kota Padang Prov. Sumatera Barat",B,Zulkifli,Rini Mulyana,103,1294,74,45,SMK 2013 REV. Teknik Mekatronika ,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,23000,1,25,1,1,2,30.4,54.72,13.28,85.44,63.11,58.25,100.0,60,14,0,29,65,38,0,88,15,51,52,63,52,129,1,102,26,69,60,2019,86
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C1FA6704-E6CE-43F1-977D-D8EE4805C8F8,20605118,SMKS PELAYARAN BAHARI JAYA,"Jl. Ciptayasa KM.07, Penggalang, Kec. Ciruas, Kab. Serang Prov. Banten",C,ALWAN,IHYA ANSHORI,12,38,35,3,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,900,3,6,0,0,1,24.33,12.17,6.08,58.33,0.0,0.0,100.0,0,0,19,0,0,12,1,7,4,5,7,0,0,19,1,8,10,8,11,2023,75
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE4D98AC-BD8F-4F38-A9B1-A71E0728C3B4,20328452,SMKS KRISTEN BISNIS & MANAJEMEN,"JL. TENTARA PELAJAR NO. 6 KEL. MANGUNSARI KEC SIDOMUKTI SALATIGA, Mangunsari, Kec. Sidomukti, Kota Salatiga Prov. Jawa Tengah",B,Thomas Heriyanto,YOHANES DWI ASMORO,17,80,72,12,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Pagi/5 hari,False,2023/2024-2,Tidak Ada,PLN,11000,1,12,1,1,2,12.67,12.67,8.94,82.35,64.71,0.0,100.0,0,0,16,5,11,6,1,14,2,5,12,0,7,23,1,15,7,9,14,2023,85
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5FF161F0-E42C-4540-8D01-389EC3FF4AF9,69831647,SMK PGRI 1 TAYU,"DESA  JEPAT LOR , Jepat Lor, Kec. Tayu, Kab. Pati Prov. Jawa Tengah",B,Anis Purwo Setianingsih,Fitria Nur Utami Ningsih,14,75,18,6,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/6 hari,False,2023/2024-2,Tidak Ada,PLN,1300,1,7,0,1,2,15.5,13.29,6.64,85.71,50.0,0.0,100.0,0,0,12,3,7,7,0,12,2,2,12,0,7,19,0,14,5,5,14,2023,83
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5740A628-2447-4617-854E-F11325DCA529,60726571,SMKS RAUDLATUSSALAM,"JL PB SUDIRMAN NO 56 GUNUNGSARI SUMBERGONDO, Sumbergondo, Kec. Glenmore, Kab. Banyuwangi Prov. Jawa Timur",C,Abdul Wahab Shobiri,Restu Hadi Widodo,15,90,80,9,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor ,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,5500,3,9,0,1,2,18.89,18.89,11.33,53.33,6.67,0.0,100.0,0,0,16,2,1,14,1,8,6,9,6,0,4,20,1,8,11,13,7,2023,72
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72825FDF-A238-45E0-B73B-255939666876,20268931,SMKS NASHIRUL HUDA,"JL. Raya Bojonggambir Kp. Cipalu Geleber RT/RW. 01/01, Bojonggambir, Kec. Bojonggambir, Kab. Tasikmalaya Prov. Jawa Barat",Sertifikat Kedaluwarsa,Aa Mansur,Pitri Nurwasilah,17,128,91,8,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,1200,3,5,0,0,0,27.38,43.8,12.88,70.59,23.53,0.0,50.0,0,1,19,1,4,13,0,12,5,4,13,0,1,21,0,13,8,6,15,2021,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/084566ED-F8EA-4D15-B248-0E4D6953EAC1,50304997,SMKN 2 KUPANG,"JL. JEND. AHMAD YANI NO. 48 RT.13/RW.03 Kel. Fatubesi , Kelapa Lima, Kec. Kelapa Lima, Kota Kupang Prov. Nusa Tenggara Timur",A,Welem Agustinus Kana,"Willem Agustinus Kana, S.Pd.,MT",160,2008,248,69,"SMK 2013 REV. Konstruksi Gedung, Sanitasi dan Perawatan",Sehari Penuh/5 hari,True,2023/2024-2,Tidak Ada,PLN,0,1,55,0,1,6,32.7,41.02,14.1,87.5,55.63,56.25,90.16,90,18,1,51,89,71,2,140,18,81,79,95,70,184,4,144,36,98,86,2023,94
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF673226-9D65-4D36-BEB7-980ED4B1D8AC,20606807,SMKS BHAKTI PERTIWI,"JL. SEDAP MALAM  PERUMNAS I KOTA TANGERANG, Nusajaya, Kec. Karawaci, Kota Tangerang Prov. Banten",B,Egi Ginanjar,Eri Yudia Firmansyah,17,133,104,9,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,10999,1,11,0,2,0,26.33,21.55,13.94,94.12,41.18,5.88,100.0,1,0,22,2,7,10,0,16,1,8,9,1,3,26,0,17,9,14,12,2019,82
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/32EE6196-D2F6-4965-B132-15D252262416,69900205,SMK SUARNA WISATA TES,"JALAN LINTAS BATAS NKRI - RDTL, Tes, Kec. Bikomi Utara, Kab. Timor Tengah Utara Prov. Nusa Tenggara Timur",C,Kandidus Siki,Kandidus Siki,6,32,33,6,SMK 2013 REV.  Perhotelan,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,3500,1,0,0,0,2,10.83,0.0,10.83,83.33,0.0,0.0,0.0,0,0,7,0,0,6,0,5,1,0,6,0,0,7,0,5,2,1,6,2019,75
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0779541C-CA22-4E91-A98B-AF495E3A5C3B,30102416,SMKN 1 SINTANG,"RAYA SINTANG-PONTIANAK KM 08, MARTI GUNA, Kec. Sintang, Kab. Sintang Prov. Kalimantan Barat",A,Poeryanto,Yanto Sumarno,92,1205,766,60,SMK 2013 REV. Teknik Instalasi Tenaga Listrik,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,660000,3,45,1,1,6,32.85,43.8,21.42,78.26,68.48,70.65,84.91,65,10,1,16,63,29,1,72,19,53,39,68,23,102,3,77,22,59,43,2021,92
