link,npsn,name,address,akreditasi,kepala_sekolah,operator,guru,siswa_l,siswa_p,rombongan_belajar,kurikulum,penyelenggaraan,mbs,semester_data,akses_internet,sumber_listrik,daya_listrik,luas_tanah_m2,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,r_siswa_rombel,r_siswa_ruang_kelas,r_siswa_guru,p_guru_kualifikasi,p_guru_sertifikasi,p_guru_pns,p_ruang_kelas_layak,guru_status_pns,guru_status_gtt,guru_status_gty,guru_status_honor,guru_sertifikasi,guru_belum_sertifikasi,guru_ijazah_kurang_dari_S1,guru_ijazah_S1_atau_lebih,guru_ijazah_data_kosong,guru_jk_laki_laki,guru_jk_perempuan,tk_status_pns,tk_status_honor,tk_total,tk_ijazah_kurang_dari_S1,tk_ijazah_S1_atau_lebih,tk_ijazah_data_kosong,tk_jk_laki_laki,tk_jk_perempuan,nilai_akreditasi_tahun,nilai_akreditasi_akhir
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F4C4C40-20C1-4A30-BCF3-4C50C6578192,20570669,SMKS TERPADU TUREN,"JL. RAYA SOEKARNO HATTA NO 02 , Sananrejo, Kec. Turen, Kab. Malang Prov. Jawa Timur",B,Isnandar Hasyim,Amalia Dwi Novitasari,11,56,20,6,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,4400,1,4,1,1,2,12.67,19.0,6.91,90.91,36.36,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/349D8635-FAD4-4415-8463-F410F925CCB1,70033370,SMK YPUPP,"Jl. Lapangan Abd. Hafiz RT. 01 Desa Pelaju Kec. Sembakung, Kab. Nunukan, Provins, Plaju, Kec. Sembakung, Kab. Nunukan Prov. Kalimantan Utara",,Joko Supyanto,mayang sari,3,7,3,3,SMK 2013 REV.  Agribisnis Pengolahan Hasil Pertanian,Pagi/5 hari,False,2023/2024-2,Tidak Ada,Tenaga Surya,100,0,3,0,0,0,3.33,3.33,3.33,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04A5A8EC-04D0-4A0B-B26B-3A7EE8EFEBAC,20272028,SMKS PAHLAWAN TOHA,"Jl. Peta (Sukamulya I), Suka Asih, Kec. Bojong Loa Kaler, Kota Bandung Prov. Jawa Barat",A,Drine Hindun,"DICKY JULIANSYAH, ST",32,234,335,17,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Siang/6 hari,False,2023/2024-2,Tidak Ada,PLN,15997,3,18,1,1,4,33.47,31.61,17.78,87.5,28.13,3.13,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30260C16-105E-44E7-90D8-5BD9126A147E,20536263,SMKS TAMAN SISWA 2 PROBOLINGGO,"JL. DR. MOCH. SALEH NO.03 PROBOLINGGO, Tisnonegaran, Kec. Kanigaran, Kota Probolinggo Prov. Jawa Timur",B,Mohamad Taufiq,Muhammad Muhadi,13,109,6,7,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Pagi/5 hari,False,2023/2024-2,Tidak Ada,PLN,0,1,9,1,1,1,16.43,12.78,8.85,92.31,46.15,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1F8243BD-3A07-4646-BB90-C7F61B18B256,60726510,SMKS PEMBANGUNAN CIBADAK,"Jl. Cipetir KM. 6, Sukasirna, Kec. Cibadak, Kab. Sukabumi Prov. Jawa Barat",A,Dadan Ramdhan Hidayat,Adi Tisa Zulkamal,22,217,172,12,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,7799,1,8,0,1,4,32.42,48.63,17.68,68.18,22.73,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB85F6D2-C47D-4410-AAFB-7511CB8AE527,20532255,SMKS BRAWIJAYA SURABAYA,"JL. BRATANG WETAN III A NO. 2-6, Ngagelrejo, Kec. Wonokromo, Kota Surabaya Prov. Jawa Timur",B,Supatmi,BAGAS ENDRA SANTOSA,14,22,34,3,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,1300,1,3,0,1,0,18.67,18.67,4.0,85.71,85.71,7.14,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/174D25F1-8857-4030-A35F-CDF7DCF240C3,20362013,SMKS ISLAM SUDIRMAN ANDONG,"SOLO-KARANGGEDE KM.30, Andong, Kec. Andong, Kab. Boyolali Prov. Jawa Tengah",C,Sugiyanto,"EKA SEPTINILA PURWANDARI, S.S",8,31,17,3,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/5 hari,True,2023/2024-2,Tidak Ada,PLN,2200,3,4,0,2,2,16.0,12.0,6.0,62.5,37.5,12.5,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F902B433-5C49-40B6-A451-9F9FA61319C7,69964375,SMK MODERN NGAWI,"Jl. Ir. Sukarno Ringroad Barat No. 09 , Grudo, Kec. Ngawi, Kab. Ngawi Prov. Jawa Timur",B,Indah Setyorini,Bayu Indra Sukma,20,206,158,15,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/5 hari,False,2023/2024-2,Tidak Ada,PLN,5000,3,17,0,1,2,24.27,21.41,18.2,80.0,5.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D43B76F6-A224-437D-8BF6-EA3A1A1DEBD5,20276099,SMKS BINA BANGSA,"JL. Wangun Pesantren Singkup, Barumekar, Kec. Parungponteng, Kab. Tasikmalaya Prov. Jawa Barat",B,Depi Permadi,Andri Syamsul Maarip,17,23,41,3,SMK 2013 REV. Agribisnis Tanaman Pangan dan Hortikultura,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,4397,1,9,0,1,5,21.33,7.11,3.76,94.12,35.29,0.0,81.82,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6737E8F1-B60C-49BC-A345-3A33E8F9BCA1,69900759,SMKS PUTRA BHAGASASI,"Kp. Pulo Asem RT.03/03, Sukakersa, Kec. Sukakarya, Kab. Bekasi Prov. Jawa Barat",C,,Holid Mawardi,5,0,0,0,SMK 2013 REV. Teknik Komputer dan Jaringan,,False,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D2A2BEC-8176-4008-9E9B-8FEFA2D98D25,20564315,SMKS ISLAM KUNJANG,"DS KUWIK KEC. KUNJANG, Kuwik, Kec. Kunjang, Kab. Kediri Prov. Jawa Timur",B,Mufid Wahyu Hidayat,MUJI KUSWANTO,29,315,162,16,SMK 2013 REV. Teknik Komputer dan Jaringan,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,13000,3,15,1,1,2,29.81,31.8,16.45,79.31,34.48,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D69A9172-C613-4902-A854-F025AC3C31BA,20253320,SMKS MANAAROTUL UMMAH TASIKMALAYA,"SAGULING PANJANG KELURAHAN CILAMAJANG KECAMATAN KAWALU, Cilamajang, Kec. Kawalu, Kota Tasikmalaya Prov. Jawa Barat",B,OPIK TAOPIK IBRAHIM,SUPARMAN,23,122,92,10,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,300,1,10,0,1,2,21.4,21.4,9.3,73.91,30.43,4.35,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C39D31EB-6489-4DD8-A045-32B95C342627,20107404,SMKS AL JIHAD JAKARTA,"JL. PAPANGGO 1 NO. 1, Papango, Kec. Tanjung Priok, Kota Jakarta Utara Prov. D.K.I. Jakarta",B,"Taufik Ramadhan, S.pd.i",Wahyu Daul Muhtar,18,136,206,9,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,23000,1,9,0,0,2,38.0,38.0,19.0,77.78,11.11,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B56FA2B-D4FE-4A95-9522-574EB5282570,69929998,SMK NURUL QURAN PENGABUAN,"Jln. Komperta Pertamina Pengabuan, Pengabuan, KEC. ABAB, Kab. Penukal Abab Lematang Ilir Prov. Sumatera Selatan",Tidak Terakreditasi,,Sunardi S.T,0,0,0,0,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,,True,2023/2024-2,,,,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A614916-1470-4715-B3A7-502634790DB6,70007620,SMK TERPADU HUSNUL HIDAYAH,"Jl. Raya Gondang Pacet No. 166, Kemasantani, Kec. Gondang, Kab. Mojokerto Prov. Jawa Timur",,Amir Wahyudi,LALIK MUNTIANI,4,24,62,3,SMK 2013 REV.  Tata Busana,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,2200,1,3,0,1,2,28.67,28.67,21.5,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78AFC09A-AC09-4152-8DBF-FDB24784FD55,69980330,SMK Mutiara Bangsa Reok,"Wangkung, Wangkung, Kec. Reok, Kab. Manggarai Prov. Nusa Tenggara Timur",B,RISKA SRI PERTIWI HO,Yohanes Oktoberik Tati Aja,30,307,277,19,SMK 2013 REV. Multimedia,Double Shift/6 hari,True,2023/2024-2,Tidak Ada,PLN,3500,1,11,0,1,2,30.74,53.09,19.47,90.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/133343AE-02B3-4A83-88D5-6B459D557A5E,20536275,SMKS TAMANSISWA 1 PROBOLINGGO,"JL. DR. MOCH. SALEH NO. 3 PROBOLINGGO, Tisnonegaran, Kec. Kanigaran, Kota Probolinggo Prov. Jawa Timur",A,Sri Swandari, Ahmad Tofan Wahyudi,13,42,38,6,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Sehari Penuh/5 hari,True,2023/2024-2,Tidak Ada,PLN,23000,3,8,0,1,2,13.33,10.0,6.15,100.0,76.92,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CFADE3F-27E9-4C56-8F6B-5D0EC959652D,10496614,SMKS SEMPENA,"Jl. Jend. Sudirman RT. 008 RW. 003, Rantau Panjang Kiri, Kec. Kubu Babussalam, Kab. Rokan Hilir Prov. Riau",B,Sulaiman,MIA SARI,12,60,39,6,SMK 2013 REV. Agribisnis Tanaman Perkebunan,Sehari Penuh/5 hari,True,2023/2024-2,Tidak Ada,PLN,2300,1,6,0,1,2,16.5,16.5,8.25,75.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6827FE2C-152F-4A8D-B7B3-5F3C861A16A0,69753553,SMKS ASY-SYARIFIYAH TAROGONG KIDUL ,"PANAWUAN KP. CISEKE , Sukajaya, Kec. Tarogong Kidul, Kab. Garut Prov. Jawa Barat",B,Cecep Hilman,ASEP NURJAMAN ,15,71,97,6,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,1500,1,7,0,1,2,28.0,24.0,11.2,86.67,26.67,6.67,100.0,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D97765BE-2F6C-4431-9EF0-20E9A463C4F3,60726844,SMK IT MBU JAMANIS,"JL. PASANTREN JAMANIS, Tanjungmekar, Kec. Jamanis, Kab. Tasikmalaya Prov. Jawa Barat",B,Nanang Adnan Fuad,"Bayu Nopria Pratama, S.Pd",15,42,29,3,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,1200,1,6,0,1,3,23.67,11.83,4.73,93.33,6.67,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
