npsn,level,name
10100556,SMA,SMAS CHIK DITIRO SIGLI
10100577,SMA,SMAS DARUSSA ADAH
10100617,SMK,SMKS MUTIARA
10100618,SMK,SMKS TUNAS HARAPAN SIGLI
10100633,SMK,SMKS LILAWANGSA SIGLI
10101180,SMA,SMAS RUHUL ISLAM
10101184,SMA,SMAS PGRI KRG GEUKEUH
10101903,SMA,SMAS PLUS NURUL ULUM
10102291,SMA,SMAS MUHAMMADIYAH 5 TAKENGON
10102510,SMA,SMA MUHAMMADIYAH 6 MEULABOH
10102516,SMA,SMA SWASTA ISLAM SERAMBI MEUKAH
10102723,SMA,SMAS SIRAJUL IBAD
10102738,SMA,SMA SWASTA TARBIYAH
10102739,SMA,SMA ISLAM TERPADU DARUL AMILIN
10102741,SMA,SMAS INSAN MADANI
10103099,SMA,SMAS PANTI HARAPAN
10103100,SMA,SMAS DARUL IMAN
10103122,SMK,SMK SWASTA ULANG KISAT
10103755,SMK,SMK SWASTA KESEHATAN MUHAMMADIYAH
10104041,SMA,SMA HIDAYATULLAH
10104267,SMK,SMKS MAIMUN HABSYAH KUALA SIMPANG
10104268,SMK,SMKS BANTA ACHMAD KUALASIMPANG
10104295,SMA,SMAS AL - WASHLIYAH
10105342,SMA,SMAS INSHAFUDDIN
10105381,SMA,SMAS KARTIKA XIV-I
10105384,SMA,SMAS GRANADA PGRI
10105385,SMA,SMAS CUT MUTIA BANDA ACEH
10105394,SMA,SMAS KATOLIK
10105404,SMA,SMAS AL MISBAH
10105629,SMK,SMKS KARYA BERINGIN
10105705,SMK,SMK 1 CUT NYAK DIEN
10105708,SMK,SMK 2 CUT NYAK DHIEN
10105731,SMA,SMA CUT NYAK DHIEN
10105732,SMA,SMA JAYA LANGSA
10105733,SMA,SMA MUHAMMADIYAH LANGSA
10107104,SMA,SMA SWASTA AL-MUSLIM PEUSANGAN
10107105,SMA,SMA SWASTA SUKMA BANGSA BIREUEN
10107157,SMA,SMAS SYAKIRAH
10107161,SMK,SMKS SYUKRONIYAH
10107192,SMA,SMA SWASTA MUSLIMAT SAMALANGA
10107271,SMA,SMAS TERPADU BUSTANUL ARIFIN
10107281,SMA,SMAS TERPADU SEMAYOEN NUSANTARA
10107310,SMA,SMAS LAB SCHOOL
10107919,SMA,SMAS SUKMA BANGSA
10107932,SMA,SMA SUKMA BANGSA KABUPATEN PIDIE
10108199,SMA,SMAS MUHAMMADIYAH GUNUNG MERIAH
10108208,SMK,SMKS DARMA SHALIHAT ALUE BILIE
10108217,SMA,SMAS GLOBAL PERINTIS
10108221,SMK,SMKS TERPADU AL AZHAR
10108240,SMA,SMAS ISLAM TGK. CHIK DI BEUREU-EH
10108261,SMK,SMK SWASTA MUDI
10108271,SMA,SMAS DARUL MUKHLISIN
10110273,SMK,SMK SWASTA ARONGAN LAMBALEK
10110276,SMK,SMKS AL FITRI BEUREUNUEN
10110353,SMA,SMAS TUNGGAL ALAS
10110356,SMK,SMKS RAUDHATUSSALIHIN
10110357,SMK,SMKS BADRUL ULUM
10110461,SMA,SMAS NURUL ISLAM
10110569,SMA,SMAS NUSA BANGSA
10110593,SMA,SMAS ISKANDAR MUDA
10110650,SMK,SMKS ULUMUDDIN
10110683,SMA,SMA SWASTA BINA GENERASI BANGSA
10110706,SMA,SMAS ISLAM AL-MUJADDID
10110740,SMA,SMA SWASTA DARUL ABRAR
10110792,SMK,SMK SWASTA TI DARUL YATAMA
10110818,SMK,SMKS FARMASI CUT MEUTIA
10111321,SMA,SMAS JANNATUL FIRDAUS
10111326,SMA,SMAS PLUS MUHAMMADIYAH
10111502,SMK,SMK SWASTA MUHAMMADIYAH LHOKSUKON
10111578,SMA,SMAS JABAL NUR JADID
10112852,SMA,SMA SWASTA TAUTHIAH ARONGAN
10112892,SMK,SMKS IT AL AMANAH
10112901,SMA,SMAS DARUSS ADAH
10112955,SMK,SMK SWASTA BUSTANUL YATAMA
10113041,SMK,SMK FARMASI CITRA BANGSA
10113367,SMA,SMA SWASTA RAUDHATUL JANNAH
10113369,SMK,SMKS HIDAYATUL ANAM
10113405,SMA,SMA TERPADU BUSTANUL ULUM
10113409,SMA,SMAS PLUS AMAL
10113435,SMA,SMA SWASTA ISLAM DARUL ULUM
10113601,SMK,SMK KESEHATAN ASSYIFA SCHOOL
10200410,SMK,SMKS TAMORA T MORAWA
10200411,SMK,SMKS TAMAN SISWA 2 BM GALANG
10200412,SMK,SMKS 2 DELIMA SARI
10200413,SMK,SMK SWASTA PEMBANGUNAN GALANG I
10200414,SMK,SMKS PANCA JAYA 1 BM GALANG
10200421,SMK,SMKS PAB 5 KLAMBIR LIMA
10200424,SMK,SMKS TAMAN SISWA 1 TR GALANG
10200425,SMK,SMKS ROKITA SARI
10200432,SMA,SMA SWASTA MASEHI NAMORAMBE
10200433,SMA,SMAS ISTIQLAL DELI TUA
10200435,SMA,SMAS DESA MAJU STM HILIR
10200436,SMA,SMAS CERDAS BANGSA
10200443,SMA,SMAS SERDANG PANTAI LABU
10200446,SMA,SMAS PRIMA TEMBUNG PERCUT
10200447,SMA,SMA SWASTA PEMBANGUNAN GALANG
10200448,SMA,SMAS BPI PALUH KURAU
10201984,SMA,SMA SWASTA ADVENT LAURAKIT
10201996,SMA,SMA SWASTA BERSAMA BERASTAGI
10201997,SMA,SMA SWASTA GBKP KABANJAHE
10201998,SMA,SMA SWASTA IMMANUEL KABANJAHE
10202001,SMA,SMA SWASTA KATOLIK 2 KABANJAHE
10202002,SMA,SMA SWASTA KATOLIK KABANJAHE
10202003,SMA,SMA SWASTA MASEHI GBKP BERASTAGI
10202004,SMA,SMA SWASTA METHODIST BERASTAGI
10202005,SMA,SMA SWASTA SANTA MARIA KABANJAHE
10202006,SMK,SMK SWASTA IMMANUEL 2 KABANJAHE
10202022,SMK,SMK SWASTA BERSAMA
10202023,SMK,SMK SWASTA GBKP KABANJAHE
10202024,SMK,SMK SWASTA IMMANUEL 1 KABANJAHE
10202028,SMK,SMK SWASTA PIJER PODI
10202651,SMA,SMA SWASTA GKPS.1 PAMATANG RAYA
10202652,SMA,SMA SWASTA CR DUYNHOVEN
10202654,SMA,SMA SWASTA DHARMA BAKTI
10202656,SMA,SMA SWASTA BUKIT CAHAYA
10202658,SMA,SMA SWASTA BINA GUNA TANAHJAWA
10202659,SMA,SMA SWASTA ASSISI SIANTAR
10202661,SMA,SMA SWASTA AL WASLIYAH 2 SERBELAWAN
10202662,SMA,SMA SWASTA ABDI SEJATI PERDAGANGAN
10202669,SMA,SMA SWASTA SATRYA BUDI PERDAGANGAN
10202670,SMA,SMA SWASTA ISLAM PROYEK UISU SIANTAR
10202672,SMA,SMA SWASTA PGRI-29 PERUMNAS Bt.6 Simalungun
10202674,SMA,SMA SWASTA PEMBANGUNAN
10202677,SMA,SMA SWASTA MUHAMMADIYAH 7 SERBALAWAN
10202680,SMA,SMA SWASTA KARYA SIMANTIN
10202681,SMA,SMA SWASTA HKBP SERBELAWAN
10202682,SMA,SMA SWASTA HKBP HUTABAYURAJA
10202721,SMA,SMA SWASTA SINAR SURYA
10202724,SMK,SMK SWASTA SATRYA BUDI 2 PERDAGANGAN
10202725,SMK,SMK SWASTA SATRYA BUDI KARANG REJO
10202726,SMK,SMK SWASTA PEMBAHARUAN 2 SIANTAR
10202727,SMK,SMK SWASTA PEMBAHARUAN 1 SIANTAR
10202728,SMK,SMK SWASTA NUSANTARA SYAHKUDA
10202729,SMK,SMK SWASTA NUSANTARA TANAH JAWA
10202733,SMK,SMK SWASTA GKPS 1 RAYA
10202734,SMK,SMK SWASTA GKPS 2 PEMATANGSIANTAR
10202737,SMK,SMK SWASTA BERDIKARI
10202738,SMK,SMK SWASTA 1 TAMAN ILMU PARLANAAN
10202739,SMK,SMK SWASTA TUNAS JAYA TANAH JAWA
10202752,SMK,SMK SWASTA ISLAM SIMALUNGUN
10202753,SMK,SMK SWASTA YPI DHARMA BUDI
10202755,SMK,SMK SWASTA ASSISI SIANTAR
10202756,SMK,SMK SWASTA AL WASHLIYAH 7 SERBELAWAN
10202757,SMK,SMK SWASTA AL WASHLIYAH 2 PERDAGANGAN
10202768,SMA,SMA SWASTA YPI DHARMA BUDI
10202769,SMA,SMA SWASTA TUNAS HARAPAN
10202772,SMA,SMA SWASTA TELADAN BANGUN
10202776,SMK,SMK SWASTA ABDI SEJATI
10202778,SMK,SMK SWASTA SATRYA BUDI 1 PERDAGANGAN
10202782,SMK,SMK SWASTA TPI AL-HASANAH
10202783,SMK,SMK SWASTA TELADAN JORLANG HATARAN
10203516,SMA,SMAS BUKIT CAHAYA SUMBUL
10203517,SMA,SMAS BUKIT CAHAYA SIDIKALANG
10203518,SMA,SMAS KESUMA SUMBUL KARO
10203520,SMA,SMAS PERGURUAN NASIONAL
10203521,SMA,SMAS RISMANDUMA
10203523,SMA,SMAS SANTO PETRUS SIDIKALANG
10203525,SMA,SMAS ADVENT SUMBUL
10203539,SMK,SMKS PARIWISATA PRIMA SIDIKALANG
10203540,SMK,SMKS BUKIT CAHAYA 1
10203541,SMK,SMKS TEKNIK DAIRI
10203548,SMK,SMKS BUKIT CAHAYA 2
10203556,SMK,SMKS HKBP SIDIKALANG
10203558,SMK,SMKS ADVENT SUMBUL
10204027,SMK,SMKS 1 YAPIM SIMPANG KAWAT
10204028,SMK,SMKS UMUM SENTOSA
10204029,SMK,SMKS TRIYADIKAYASA
10204030,SMK,SMKS TELADAN INDRAPURA
