"npsn","tanggal_pendirian","tanggal_operasional"
"10100543","28-04-1980","28-09-2015"
"10100550","12-09-2000","19-11-2020"
"10100553","05-01-1999","05-01-1999"
"10100554","01-01-1992","25-08-2021"
"10100557","20-06-1985","04-06-2015"
"10100569","-","-"
"10100570","-","-"
"10100572","-","-"
"10100573","15-05-1979","10-01-2021"
"10100575","02-01-1974","05-11-2021"
"10100577","01-01-1901","01-01-1900"
"10101184","20-05-1986","16-11-2018"
"10101309","14-03-1989","10-01-2024"
"10101872","-","-"
"10101875","01-01-1900","01-01-1900"
"10101876","08-09-2022","08-09-2022"
"10101877","01-01-1900","01-01-1900"
"10101884","-","-"
"10101903","06-09-2004","02-10-2004"
"10102181","-","-"
"10102248","-","-"
"10102259","01-07-1992","30-08-2023"
"10102283","21-05-2004","25-08-2023"
"10102284","-","-"
"10102291","05-06-1968","21-06-2023"
"10102311","01-01-1900","21-04-2022"
"10102502","20-11-1984","20-11-1984"
"10102505","25-08-1958","24-07-2008"
"10102506","-","-"
"10102510","13-02-2018","02-01-2020"
"10102514","-","-"
"10102722","01-01-1900","13-09-1978"
"10102728","-","-"
"10102729","01-06-1959","01-06-1959"
"10102738","23-08-1989","28-08-2023"
"10102739","-","-"
"10102740","02-08-2004","02-08-2004"
"10102744","01-01-1900","01-01-1900"
"10102771","01-01-1900","-"
"10102785","18-11-1983","18-11-1983"
"10102790","17-03-2004","12-09-2003"
"10102793","-","-"
"10103092","-","-"
"10103097","-","-"
"10103098","-","-"
"10103103","-","-"
"10103352","-","-"
"10104039","03-09-1979","17-01-2023"
"10104040","01-01-1900","26-08-2014"
"10104042","-","-"
"10104043","16-01-2001","17-01-2023"
"10104046","-","-"
"10104049","27-04-2004","27-02-2024"
"10104059","27-04-2005","27-04-2005"
"10104272","17-11-2000","17-11-2000"
"10104295","01-01-1987","27-03-2012"
"10104524","01-01-1900","-"
"10104529","01-01-1900","-"
"10104530","01-01-1900","01-01-1900"
"10104547","21-10-2005","21-10-2005"
"10104680","23-08-1993","12-01-2022"
"10104837","01-01-1900","-"
"10104848","22-12-1986","12-04-1986"
"10104851","02-02-2006","02-02-2006"
"10104852","02-05-2007","21-02-2006"
"10104862","09-10-1982","09-10-1982"
"10104863","01-01-1900","-"
"10104864","04-05-1964","01-01-1900"
"10104880","25-07-2002","02-05-2007"
"10104883","17-03-2005","02-05-2007"
"10105059","28-04-1988","01-04-2005"
"10105171","02-01-2014","06-02-2024"
"10105183","01-01-1900","02-01-2015"
"10105185","25-11-1991","10-07-2023"
"10105340","30-08-2001","23-09-2023"
"10105342","01-10-2001","01-08-2011"
"10105381","01-01-1980","13-07-2020"
"10105384","31-03-1980","25-08-2023"
"10105388","05-09-1979","27-06-1977"
"10105389","31-08-2022","31-08-2022"
"10105396","05-01-1999","31-08-2023"
"10105398","11-09-1983","31-08-2017"
"10105399","05-09-1979","01-01-1900"
"10105404","01-12-1977","24-11-2023"
"10105619","01-01-1900","01-09-1957"
"10105622","11-06-1990","11-06-1990"
"10105624","29-11-2002","24-08-2023"
"10105732","17-10-1987","18-01-2023"
"10105736","-","-"
"10105752","04-04-2005","03-05-2017"
"10107084","09-11-1983","24-08-2023"
"10107085","01-05-2000","03-09-2005"
"10107087","17-10-1987","26-12-1986"
"10107091","28-12-2004","28-12-2004"
"10107097","01-01-1900","-"
"10107100","01-01-1900","04-01-2024"
"10107105","15-05-2006","15-05-2005"
"10107192","14-11-2006","09-01-2024"
"10107194","01-01-1901","01-01-1900"
"10107196","15-12-2004","15-12-2004"
"10107197","17-04-2001","24-11-2023"
"10107271","16-10-2008","16-10-2008"
"10107279","05-03-2008","05-03-2008"
"10107280","01-07-2005","21-06-2023"
"10107513","02-02-2006","02-06-2005"
"10107514","-","-"
"10107919","15-05-2006","15-05-2006"
"10107933","-","-"
"10107965","-","-"
"10108057","-","-"
"10108058","03-07-1990","03-07-1990"
"10108059","11-06-1990","11-06-1990"
"10108103","01-01-1900","01-01-1900"
"10108201","22-07-2005","17-01-2023"
"10108241","26-10-2004","-"
"10110262","27-01-2005","12-01-2006"
"10110348","01-01-1900","01-01-1900"
"10110349","23-05-2007","23-05-2007"
"10110350","13-09-2022","13-09-2022"
"10110353","",""
"10110364","01-01-2024","01-01-2024"
"10110461","17-01-2008","23-07-2018"
"10110562","31-08-1981","24-07-2008"
"10110564","04-07-2000","04-07-2000"
"10110569","",""
"10110593","11-07-1990","11-06-2019"
"10110632","12-08-2007","19-10-2009"
"10110683","05-09-2006","05-09-2006"
"10110701","-","-"
"10110706","02-12-2020","02-12-2008"
"10110894","02-02-2004","16-01-2006"
"10110895","14-06-2004","14-06-2004"
"10110901","04-04-2006","04-04-2006"
"10110902","01-01-1900","01-01-1900"
"10111320","01-01-1900","-"
"10111326","29-07-2006","04-08-2006"
"10111578","20-12-2008","20-12-2008"
"10111579","01-01-1900","-"
"10111595","10-03-2009","10-03-2009"
"10111679","05-04-2006","-"
"10111680","01-01-1900","01-01-1900"
"10111836","-","-"
"10111952","01-07-2009","01-01-1900"
"10111954","28-06-2009","11-06-2019"
"10112425","01-01-1901","01-01-1900"
"10112426","-","-"
"10112861","-","-"
"10112862","22-05-2010","22-05-2010"
"10112863","01-01-2010","11-10-2011"
"10112901","01-06-2010","27-08-2010"
"10113050","01-01-1900","-"
"10113086","12-06-2010","04-08-2021"
"10113239","15-12-2010","15-12-2010"
"10113241","10-12-2010","01-01-1900"
"10113242","29-12-2010","29-12-2010"
"10113353","",""
"10113366","12-05-2011","12-05-2011"
"10113409","01-04-2011","11-09-2022"
"10113618","23-10-2013","23-10-2013"
"10113619","24-04-2012","17-04-2012"
"10113631","16-01-2015","01-06-2012"
"10200443","",""
"10201984","01-01-1984","05-05-2023"
"10201985","01-01-1900","-"
"10201987","01-01-1900","01-01-1900"
"10201988","01-04-1993","01-04-1993"
"10201989","01-01-1900","02-01-1989"
"10201990","01-01-1900","-"
"10201993","16-06-1997","16-06-1997"
"10201994","01-01-1900","-"
"10201997","01-01-1900","05-05-2023"
"10201998","01-01-1900","-"
"10202002","01-01-1900","30-03-2021"
"10202004","02-08-2012","04-04-2016"
"10202652","22-05-1987","25-10-2019"
"10202654","26-04-2018","26-04-2018"
"10202658","18-02-2014","18-02-2014"
"10202659","19-04-1995","25-11-2019"
