"npsn","naungan","npyp","link"
"10100556","Yayasan CHIK DITIRO SIGLI","AK3520","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=5AFA6EA4-97D0-44DE-A942-ADCEE91BB75D"
"10100577","YAYASAN PENDIDIKAN ISLAM (YPI) DARUSSA'ADAH","AK3438","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=90ABFF35-5167-473C-AB97-B2E417A3EDF1"
"10100617","Yayasan Pendidikan Mutiara (YPM)","AL9289","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C5B94C2C-794E-4ECE-8744-CD85EA8C776B"
"10100618","Yayasan INTI","AL9272","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C0F8D267-3C9A-4748-9982-1EB7044D3FDC"
"10100633","YAYASAN PENDIDIKAN LILAWANGSA PIDIE","AX2324","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E77BB377-5AF1-40FC-BC70-028CF87706DE"
"10101180","Yayasan Ruhul Islam Desa Rayeuk Kuta","AB5532","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=18147915-FF8F-4E56-B591-AF329F68F47B"
"10101184","Yayasan YPLP PGRI KABUPATEN ACEH UTARA","AX1670","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7458C63C-CE7A-4D16-87FE-58C208300E00"
"10101903","Yayasan Dayah Nurul Hilal","AE7577","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A50FE769-C8F8-46AA-B86E-CF1129839A08"
"10102291","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Aceh","AK3816","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4B79E6E6-FE18-E211-9FA9-7962FFAA740A"
"10102510","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Aceh","AK3816","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4B79E6E6-FE18-E211-9FA9-7962FFAA740A"
"10102516","YAYASAN UMMUL YATAMA AL-WALIYAH SERAMBI MEKKAH","AK3558","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E008DCFF-D3C1-4F88-981A-A5048BEF1D08"
"10102723","","-",""
"10102738","Yayasan Perguruan Tarbiyah","AB5670","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=762E7D28-1C0A-4112-A600-CFD060448B67"
"10102739","Yayasan Syech Abdul Ghany","AB5755","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=BA008515-4EF1-4B70-BEB2-A27B63B44CAA"
"10102741","Yayasan AL Hidayah Nyakman","AB5654","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0AB2BAB1-2984-407A-8485-79CA7B563C5E"
"10103099","YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN","AB7849","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8E2E76E3-FDAF-40CA-96EB-B018D36A6BB0"
"10103100","Yayasan Perguruan Darul Iman","AN2595","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E4DBC057-225D-4BC3-AD43-CB6021B9222F"
"10103122","YAYASAN PENDIDIKAN ULANG KISAT","AE7735","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=6DC0BE56-3F73-422C-85D9-B232143E1A0C"
"10103755","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Aceh","AK3816","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4B79E6E6-FE18-E211-9FA9-7962FFAA740A"
"10104041","Yayasan HIDAYATULLAH","AO1712","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=99A8222A-48F3-4976-8D90-344FC95E41A7"
