"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AL6110","YLPP -17 Surakarta","JLN R.M. SAID NO 111, Punggawan, Kec. Banjarsari, Kota Surakarta Prov. Jawa Tengah","Wibowo Tri Yjulianto","Suyardinah","57132","297","10 Feb 1982","1"
"AG5941","Yayasan Rukandi Sejahtera","Perum. Taman Cikarang Indah 2 Blok E12 No.12, -, Kec. Cikarang Selatan, Kab. Bekasi Prov. Jawa Barat","Agung Saepul Rohmat","Januar Sidik Rukandi","17550","07.","30 Nov 2018","1"
"AD4221","Darussalam Assyukroniyah Ciparay Cikajang","Kp. Ciparay, -, Kec. Cikajang, Kab. Garut Prov. Jawa Barat","Dindin Mauludin, S.Pd.I, MM.","Yogi Abdul Roup","44171","AHU-0004320.AH.01.04.Tahun 2020","03 Mar 2020","3"
"AH9661","YAPMA SULBAR","Jl. POROS MAMUJU-TAPALANG, SALLETTO, Kec. Simboro, Kab. Mamuju Prov. Sulawesi Barat","Ir. MUHAMMAD THALIB, M.Pd","Jumurah","91512","-46-","26 Jan 2016","1"
"AE9636","PERGURUAN F. TANDEAN TEBING TINGGI","JL. SUTOMO TEBING TINGGI, -, Kec. Tebing Tinggi Kota, Kota Tebing Tinggi Prov. Sumatera Utara","ELLY INDRAWATY","IKA NILAM SARI","20632","832/Sospol-TPPA.TT/VII/85","11 Jul 1985","4"
"AG3045","NURUL FADHILLAH","jl. cikditiro kompleks pemda, BINANGA, Kec. Mamuju, Kab. Mamuju Prov. Sulawesi Barat","HJ.SALMA ANDI ARA","ANDI KAMAL M. SALLO","91515","","09 Sep 2014","1"
"AD1951","Asti Dharma","Jl. Rahayu No.22, -, Kec. Grogol Petamburan, Kota Jakarta Barat Prov. D.K.I. Jakarta","Sr. M. Angeline Giasih PBHK","andreas budiarto","11460","11","07 Sep 1957","25"
"AN1911","AL - ASROR","Jl. Taman Sari, Ambat, Kec. Tlanakan, Kab. Pamekasan Prov. Jawa Timur","KH. AS'AD ABDULLAH","MOH SHALEHODDIN","69371","39","22 Oct 2015","2"
"AF7343","YAYASAN PENDIDIKAN SARI BUANA Makassar","JL. PELITA RAYA NO. 2B, Ballaparang, Kec. Panakukkang, Kota Makassar Prov. Sulawesi Selatan","MARLINA ARIFIN, SE","EVA YUNITA","90221","064","20 Jun 2014","2"
"AJ4799","YPI. ALFA SANAH","Anamui, Suradita, Kec. Cisauk, Kab. Tangerang Prov. Banten","H.M.FURQON, S.Ag","SUHENDAR","","21","23 Feb 1998","2"
"AA1975","YPI AL-ISTIQOMAH","KP,Ciheulang,Desa Langensari, Langensari, Kec. Karang Tengah, Kab. Cianjur Prov. Jawa Barat","K.H.M.Apipuddin Mughni S.Pd.I","encep zenal aripin, S.Pd.I","43281","","15 Nov 2015","1"
"AB9892","PONPES AL-INAYAH","JL LESMANA, PERINTIS, Kec. Rimbo Bujang, Kab. Tebo Prov. Jambi","KH M RIFAI ABDULLAH, S.Pd.I","Alpian Candra Romadan","37253","12/10/2002","12 Oct 2002","2"
"AX5266","Yayasan Pendidikan Beringin","Gondangwinangun, -, Kec. Jogonalan, Kab. Klaten Prov. Jawa Tengah","Suwito, S.Ag","Listyanti","57452","57","10 Mar 2016","1"
"AL1528","Yayasan Nitya Bhakti","Jl.Ir.H.Juanda No.29, -, Kec. Gambir, Kota Jakarta Pusat Prov. D.K.I. Jakarta","Sr. KORINA NGOE, OSU.M.Pd","Hasudungan Siburian","10120","043","10 Jan 1952","5"
"AM0027","YAYASAN AMAL-MAS SUMATERA UTARA","HELEZALULU, BAWO'OTALUA, Kec. Lahusa, Kab. Nias Selatan Prov. Sumatera Utara","SAMAHATO BUULOLO","ANSELMUS PERDAMAIAN BUULOLO","22874","","25 Apr 2005","2"
"AC1641","YAYASAN PONDOK PESANTREN HIDAYATUL QUR'AN","Jln. Ki Ageng Joro Rekso No.01, TelukDalem, Kec. Mataram Baru, Kab. Lampung Timur Prov. Lampung","FIRDAUS AL MUSTOFA","ARIF MUHAMMAD HASAN","34199","24","21 Jul 2015","2"
