NYPY,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,NPYP
AL6110,20327939,SMAS TUJUH BELAS SURAKARTA,SMA,Kec. Banjarsari,Kota Surakarta,Prov. Jawa Tengah,
AG5941,69930294,SMKS TEKNOLOGI INDUSTRI MANDIRI,SMK,Kec. Cikarang Selatan,Kab. Bekasi,Prov. Jawa Barat,
AD4221,69867296,KB DARUSSALAM ASYUKRONIAH,KB,Kec. Cikajang,Kab. Garut,Prov. Jawa Barat,
AD4221,69856934,SMPS IT Assyukroniyah,SMP,Kec. Cikajang,Kab. Garut,Prov. Jawa Barat,
AD4221,69940395,SMA PLUS PERJUANGAN 78,SMA,Kec. Cikajang,Kab. Garut,Prov. Jawa Barat,
AH9661,69961932,SMK YAPMA SULBAR,SMK,Kec. Simboro,Kab. Mamuju,Prov. Sulawesi Barat,
AE9636,10261369,TK SWASTA F. TANDEAN,TK,Kec. Tebing Tinggi Kota,Kota Tebing Tinggi,Prov. Sumatera Utara,
AE9636,10211533,SMA SWASTA F. TANDEAN,SMA,Kec. Tebing Tinggi Kota,Kota Tebing Tinggi,Prov. Sumatera Utara,
AE9636,10220152,SD SWASTA F. TANDEAN,SD,Kec. Tebing Tinggi Kota,Kota Tebing Tinggi,Prov. Sumatera Utara,
AE9636,10211585,SMP SWASTA F. TANDEAN TEBING TINGGI,SMP,Kec. Tebing Tinggi Kota,Kota Tebing Tinggi,Prov. Sumatera Utara,
AG3045,69774917,SMKS KEPERAWATAN ST. FATIMAH,SMK,Kec. Mamuju,Kab. Mamuju,Prov. Sulawesi Barat,
AD1951,20321382,SD SANTA MARIA,SD,Kec. Bulu,Kab. Temanggung,Prov. Jawa Tengah,
AD1951,69871602,TK ADE IRMA SURYANI CAMPURSARI,TK,Kec. Bulu,Kab. Temanggung,Prov. Jawa Tengah,
AD1951,20105642,SD BUNDA HATI KUDUS,SD,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AD1951,20110927,TK BUNDA HATI KUDUS,TK,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AD1951,20101332,SMAS BUNDA HATI KUDUS,SMA,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AD1951,20109239,SMP BUNDA HATI KUDUS,SMP,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AD1951,20306979,SD PIUS WONOSOBO,SD,Kec. Wonosobo,Kab. Wonosobo,Prov. Jawa Tengah,
AD1951,20348699,TK PIUS,TK,Kec. Wonosobo,Kab. Wonosobo,Prov. Jawa Tengah,
AD1951,20201357,SD BUNDA HATI KUDUS,SD,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,
AD1951,20230957,SMP BUNDA HATI KUDUS,SMP,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,
